Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0282,0.0004419768924,0.2160458453
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0213,0.00009558627236,0.1726361032
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0213,0.0001929264213,0.1829512894
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0213,0.0002885126936,0.2014326648
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0213,0.0003858528426,0.2044412607
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0213,0.0004428538307,0.2130372493
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0144,0.00009470933408,0.1885386819
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0144,0.0001929264213,0.2031518625
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0144,0.0002876357554,0.2130372493
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0144,0.0003849759043,0.2151862464
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.55,0.0144,0.0004428538307,0.2164756447
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.007486338798,0.0003713233966,0.1810240964
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.01431693989,0.0003713233966,0.1801204819
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.02131147541,0.0003713233966,0.1728915663
9.39422,996.436,1.88E-05,8.99E-04,7.21E-02,0.021,0.03,0.002,0.43,0.02819672131,0.0003713233966,0.153313253
17.6872,996.544,1.88E-05,9.00E-04,7.21E-02,0.021,0.03,0.002,0.43,0.003879781421,0.0003712831546,0.1668674699
17.6872,996.544,1.88E-05,9.00E-04,7.21E-02,0.021,0.03,0.002,0.43,0.007540983607,0.0003712831546,0.1611445783
17.6872,996.544,1.88E-05,9.00E-04,7.21E-02,0.021,0.03,0.002,0.43,0.01114754098,0.0003712831546,0.1554216867
17.6872,996.544,1.88E-05,9.00E-04,7.21E-02,0.021,0.03,0.002,0.43,0.01475409836,0.0003712831546,0.1391566265
26.0406,996.653,1.90E-05,9.01E-04,7.21E-02,0.021,0.03,0.002,0.43,0.002568306011,0.0003712425488,0.1653614458
26.0406,996.653,1.90E-05,9.01E-04,7.21E-02,0.021,0.03,0.002,0.43,0.005136612022,0.0003712425488,0.1563253012
