Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity ,Superficial Liquid Velocity ,Liquid Holdup 
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.004978557815,0.1818181818
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.008790966953,0.2348484848
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01071959746,0.2409090909
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01260337609,0.2409090909
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.001030666665,0.1181818182
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.004570782602,0.2
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.008110898538,0.2424242424
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.009858550709,0.2424242424
1.184,1002.2,0.0000182,0.006,5.49E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01165101447,0.2454545455
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.0008513353419,0.1272727273
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.004301483833,0.2060606061
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.007886053693,0.2363636364
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.0096335315,0.2575757576
1.184,1002.3,0.0000182,0.009,5.33E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01147062355,0.2651515152
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.0006272371458,0.1287878788
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.004211449408,0.2121212121
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.007571648403,0.2363636364
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.009318951881,0.2621212121
1.184,1002.4,0.0000182,0.012,5.30E-02,0.1016,2.080657028,0.00368,0.41,0.1420204172,0.01106625536,0.2666666667
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.001764552918,0.08659793814
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.006036628404,0.1345360825
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01026226829,0.1608247423
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01239830603,0.1716494845
1.184,997,0.0000182,0.001,7.08E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01448790817,0.1778350515
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.001202140921,0.08659793814
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.004993508439,0.1530927835
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.008784875958,0.174742268
1.184,1001.3,0.0000182,0.003,5.58E-02,0.1016,2.080657028,0.00368,0.41,0.4469466069,0.01068055972,0.1886597938
